Race,City,State,Gender,Lat,Long,Time,Dist
Parkway,Platte City,MO,M,39.3703535,-94.7810859,1:28:03 AM,22.9
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:28:05 AM,0
Parkway,Saint Peters,MO,M,38.8010514,-90.6278809,1:28:06 AM,212.9
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:28:07 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:28:10 AM,9.1
Parkway,Grandview,MO,M,38.8858407,-94.5330095,1:28:12 AM,13.8
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:28:16 AM,7.4
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:28:18 AM,8.6
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:28:18 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:28:24 AM,0
Parkway,Omaha,NE,M,41.2587317,-95.9378731,1:28:24 AM,166.7
Parkway,Nevada,MO,M,37.8389595,-94.3549186,1:28:27 AM,86.6
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:28:28 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:28:29 AM,0
Parkway,Lathrop,MO,M,39.5483354,-94.329946,1:28:30 AM,34.4
Parkway,Waukee,IA,M,41.6113712,-93.8857069,1:28:30 AM,178
Parkway,Middle Grove,NY,M,43.0897964,-73.9179021,1:28:32 AM,1109.6
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:28:34 AM,19.4
Parkway,Columbia,MO,M,38.951883,-92.3337365,1:28:35 AM,120.3
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:28:52 AM,9.1
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:28:54 AM,9.1
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:28:55 AM,7.4
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:28:56 AM,0
Parkway,Grain Valley,MO,M,39.0150069,-94.1985579,1:28:57 AM,20.2
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:02 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:05 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:05 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:29:06 AM,9.1
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:29:06 AM,9.1
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:29:11 AM,12.9
Parkway,Manhattan,KS,M,39.1836082,-96.5716693,1:29:11 AM,108.1
Parkway,Liberty,MO,M,39.2463496,-94.4189374,1:29:16 AM,13.6
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:21 AM,0
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:29:23 AM,19.4
Parkway,Omaha,NE,F,41.2587317,-95.9378731,1:29:24 AM,166.7
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:26 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:29 AM,0
Parkway,Papillion,NE,M,41.1544433,-96.0422377,1:29:31 AM,162.9
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:29:32 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:29:33 AM,0
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:29:33 AM,12.9
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:29:37 AM,37
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:29:39 AM,0
Parkway,Independence,MO,M,39.0911161,-94.4155067,1:29:40 AM,7.9
Parkway,Omaha,NE,M,41.2587317,-95.9378731,1:29:46 AM,166.7
Parkway,Kansas City,KS,F,39.1146799,-94.7495245,1:29:52 AM,10.2
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:30:00 AM,19.4
Parkway,Saint Joseph,MO,M,39.7686055,-94.8466321,1:30:03 AM,49.6
Parkway,Columbia,MO,M,38.951883,-92.3337365,1:30:24 AM,120.3
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:30:25 AM,0
Parkway,Manhattan,KS,F,39.1836082,-96.5716693,1:30:27 AM,108.1
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:30:27 AM,8.6
Parkway,Kansas City,KS,M,39.1146799,-94.7495245,1:30:28 AM,10.2
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:30:32 AM,0
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:30:38 AM,19.4
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:30:42 AM,7.4
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:30:50 AM,0
Parkway,Denver,CO,M,39.7391536,-104.9847033,1:31:01 AM,559.2
Parkway,Lake Winnebago,MO,M,38.8313975,-94.3585602,1:31:13 AM,20.6
Parkway,Topeka,KS,F,39.0490111,-95.6775556,1:31:14 AM,60
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:31:17 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:31:23 AM,9.1
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:31:27 AM,37
Parkway,Polk City,IA,M,41.7713217,-93.7137457,1:31:30 AM,190.7
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:31:37 AM,0
Parkway,Columbia,MO,M,38.951883,-92.3337365,1:31:42 AM,120.3
Parkway,Springfield,MO,M,37.2153307,-93.298252,1:31:47 AM,146.2
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:31:54 AM,12.9
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:31:58 AM,0
Parkway,Kechi,KS,M,37.800905,-97.2808892,1:31:58 AM,172
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:32:02 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:09 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:14 AM,0
Parkway,Whiteman Afb,MO,M,38.7298305,-93.56143309,1:32:16 AM,59.3
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:32:18 AM,9.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:21 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:22 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:24 AM,0
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:32:27 AM,15.4
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:32:36 AM,19.4
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:32:39 AM,8.6
Parkway,Mission Hills,KS,M,39.0177834,-94.6169013,1:32:42 AM,5.4
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:32:46 AM,19.4
Parkway,Leadville,CO,M,39.2508229,-106.2925237,1:32:48 AM,629.5
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:48 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:32:48 AM,9.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:32:48 AM,0
Parkway,De Soto,KS,M,38.9791708,-94.9685783,1:32:49 AM,23
Parkway,Springfield,MO,F,37.2153307,-93.298252,1:32:57 AM,146.2
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:33:08 AM,9.1
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:33:08 AM,9.1
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:33:08 AM,0
Parkway,Prairie Village,KS,F,38.9914109,-94.6332767,1:33:17 AM,7.4
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:33:19 AM,15.4
Parkway,Fairway,KS,M,39.0222277,-94.6319017,1:33:23 AM,5.7
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:33:25 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:33:27 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:33:33 AM,9.1
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:33:33 AM,15.4
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:33:33 AM,12.9
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:33:33 AM,8.6
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:33:35 AM,7.4
Parkway,Leawood,KS,M,38.966673,-94.6169011,1:33:36 AM,8.6
Parkway,Manhattan,KS,M,39.1836082,-96.5716693,1:33:42 AM,108.1
Parkway,Lenexa,KS,F,38.9536174,-94.7335708,1:33:43 AM,12.9
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:33:43 AM,12.9
Parkway,Albany,MO,M,40.2486069,-94.3310679,1:33:48 AM,81.3
Parkway,Polk City,IA,F,41.7713217,-93.7137457,1:33:49 AM,190.7
Parkway,Minneapolis,MN,M,44.9772995,-93.2654691,1:33:51 AM,412.1
