Age Group Place,Chip Time
20 M 40-44,1:34:23 AM
21 M 40-44,1:34:24 AM
34 M 30-34,1:34:24 AM
20 M 25-29,1:34:26 AM
8 M 50-54,1:34:27 AM
9 M 50-54,1:34:30 AM
6 F 30-34,1:34:31 AM
3 F 35-39,1:34:34 AM
35 M 30-34,1:34:35 AM
3 M 55-59,1:34:36 AM
1 F 45-49,1:34:40 AM
22 M 40-44,1:34:44 AM
23 M 40-44,1:34:45 AM
12 F 25-29,1:34:50 AM
7 F 30-34,1:34:51 AM
36 M 30-34,1:34:55 AM
8 F 30-34,1:35:02 AM
37 M 35-39,1:35:10 AM
4 F 35-39,1:35:17 AM
37 M 30-34,1:35:17 AM
16 M 20-24,1:35:17 AM
38 M 30-34,1:35:20 AM
2 F 45-49,1:35:22 AM
24 M 40-44,1:35:22 AM
38 M 35-39,1:35:24 AM
25 M 40-44,1:35:28 AM
39 M 35-39,1:35:28 AM
21 M 25-29,1:35:30 AM
5 F 35-39,1:35:35 AM
39 M 30-34,1:35:38 AM
40 M 30-34,1:35:39 AM
40 M 35-39,1:35:44 AM
41 M 30-34,1:35:47 AM
26 M 40-44,1:35:51 AM
17 M 20-24,1:35:51 AM
41 M 35-39,1:35:53 AM
13 F 25-29,1:36:05 AM
27 M 40-44,1:36:09 AM
42 M 35-39,1:36:09 AM
6 F 35-39,1:36:13 AM
18 M 20-24,1:36:14 AM
2 M 60-64,1:36:14 AM
6 F 20-24,1:36:19 AM
13 M 45-49,1:36:21 AM
1 F 50-54,1:36:21 AM
1 F 40-44,1:36:28 AM
42 M 30-34,1:36:30 AM
43 M 30-34,1:36:32 AM
22 M 25-29,1:36:35 AM
4 M 55-59,1:36:42 AM
44 M 30-34,1:36:43 AM
10 M 50-54,1:36:43 AM
11 M 50-54,1:36:43 AM
23 M 25-29,1:36:50 AM
43 M 35-39,1:36:51 AM
14 F 25-29,1:36:55 AM
28 M 40-44,1:36:58 AM
1 M 1-14,1:37:00 AM
44 M 35-39,1:37:01 AM
24 M 25-29,1:37:01 AM
14 M 45-49,1:37:03 AM
45 M 30-34,1:37:03 AM
25 M 25-29,1:37:04 AM
29 M 40-44,1:37:06 AM
7 F 35-39,1:37:06 AM
30 M 40-44,1:37:08 AM
31 M 40-44,1:37:09 AM
45 M 35-39,1:37:12 AM
32 M 40-44,1:37:16 AM
5 M 55-59,1:37:20 AM
33 M 40-44,1:37:20 AM
2 F 15-19,1:37:24 AM
1 M 65-69,1:37:38 AM
46 M 35-39,1:37:39 AM
7 F 20-24,1:37:39 AM
26 M 25-29,1:37:41 AM
46 M 30-34,1:37:42 AM
47 M 35-39,1:37:45 AM
47 M 30-34,1:37:51 AM
9 F 30-34,1:37:55 AM
48 M 30-34,1:38:02 AM
27 M 25-29,1:38:02 AM
49 M 30-34,1:38:05 AM
19 M 20-24,1:38:06 AM
28 M 25-29,1:38:09 AM
50 M 30-34,1:38:10 AM
8 F 35-39,1:38:14 AM
48 M 35-39,1:38:14 AM
10 F 30-34,1:38:16 AM
12 M 50-54,1:38:17 AM
49 M 35-39,1:38:17 AM
11 F 30-34,1:38:20 AM
50 M 35-39,1:38:20 AM
12 F 30-34,1:38:22 AM
20 M 20-24,1:38:23 AM
51 M 30-34,1:38:30 AM
13 M 50-54,1:38:31 AM
21 M 20-24,1:38:32 AM
52 M 30-34,1:38:33 AM
51 M 35-39,1:38:35 AM
53 M 30-34,1:38:35 AM
29 M 25-29,1:38:38 AM
52 M 35-39,1:38:39 AM
53 M 35-39,1:38:42 AM
14 M 50-54,1:38:43 AM
54 M 35-39,1:38:43 AM
55 M 35-39,1:38:50 AM
15 M 45-49,1:38:51 AM
56 M 35-39,1:38:52 AM
15 M 50-54,1:38:53 AM
16 M 50-54,1:38:54 AM
57 M 35-39,1:38:54 AM
34 M 40-44,1:38:55 AM
15 F 25-29,1:38:56 AM
58 M 35-39,1:38:57 AM
35 M 40-44,1:38:57 AM
30 M 25-29,1:38:58 AM
59 M 35-39,1:39:00 AM
60 M 35-39,1:39:01 AM
13 F 30-34,1:39:02 AM
61 M 35-39,1:39:07 AM
22 M 20-24,1:39:08 AM
8 F 20-24,1:39:13 AM
31 M 25-29,1:39:13 AM
14 F 30-34,1:39:17 AM
16 M 45-49,1:39:20 AM
54 M 30-34,1:39:24 AM
62 M 35-39,1:39:25 AM
23 M 20-24,1:39:26 AM
17 M 50-54,1:39:27 AM
9 F 35-39,1:39:28 AM
2 F 40-44,1:39:29 AM
63 M 35-39,1:39:30 AM
17 M 45-49,1:39:31 AM
6 M 55-59,1:39:32 AM
15 F 30-34,1:39:32 AM
24 M 20-24,1:39:37 AM
18 M 50-54,1:39:40 AM
32 M 25-29,1:39:40 AM
64 M 35-39,1:39:40 AM
55 M 30-34,1:39:50 AM
56 M 30-34,1:39:50 AM
16 F 30-34,1:39:50 AM
16 F 25-29,1:39:51 AM
36 M 40-44,1:39:53 AM
65 M 35-39,1:39:55 AM
17 F 25-29,1:39:56 AM
17 F 30-34,1:39:56 AM
66 M 35-39,1:39:56 AM
67 M 35-39,1:39:59 AM
68 M 35-39,1:40:02 AM
57 M 30-34,1:40:09 AM
19 M 50-54,1:40:11 AM
18 M 45-49,1:40:16 AM
18 F 25-29,1:40:16 AM
69 M 35-39,1:40:16 AM
37 M 40-44,1:40:18 AM
33 M 25-29,1:40:18 AM
10 F 35-39,1:40:18 AM
18 F 30-34,1:40:19 AM
34 M 25-29,1:40:20 AM
19 M 45-49,1:40:22 AM
19 F 30-34,1:40:22 AM
38 M 40-44,1:40:24 AM
70 M 35-39,1:40:27 AM
3 M 60-64,1:40:28 AM
25 M 20-24,1:40:31 AM
20 F 30-34,1:40:32 AM
19 F 25-29,1:40:39 AM
21 F 30-34,1:40:40 AM
35 M 25-29,1:40:40 AM
36 M 25-29,1:40:43 AM
4 M 60-64,1:40:43 AM
39 M 40-44,1:40:44 AM
20 M 50-54,1:40:48 AM
37 M 25-29,1:40:49 AM
22 F 30-34,1:40:56 AM
11 F 35-39,1:40:59 AM
20 F 25-29,1:41:00 AM
12 F 35-39,1:41:00 AM
58 M 30-34,1:41:01 AM
40 M 40-44,1:41:05 AM
71 M 35-39,1:41:08 AM
9 F 20-24,1:41:09 AM
59 M 30-34,1:41:10 AM
3 F 15-19,1:41:12 AM
72 M 35-39,1:41:16 AM
60 M 30-34,1:41:17 AM
73 M 35-39,1:41:18 AM
38 M 25-29,1:41:18 AM
61 M 30-34,1:41:21 AM
21 F 25-29,1:41:22 AM
13 F 35-39,1:41:25 AM
4 F 15-19,1:41:26 AM
23 F 30-34,1:41:28 AM
39 M 25-29,1:41:28 AM
14 F 35-39,1:41:31 AM
24 F 30-34,1:41:32 AM
15 F 35-39,1:41:33 AM
74 M 35-39,1:41:36 AM
22 F 25-29,1:41:37 AM
40 M 25-29,1:41:38 AM
23 F 25-29,1:41:39 AM
62 M 30-34,1:41:42 AM
21 M 50-54,1:41:42 AM
41 M 25-29,1:41:43 AM
25 F 30-34,1:41:44 AM
75 M 35-39,1:41:44 AM
76 M 35-39,1:41:44 AM
20 M 45-49,1:41:44 AM
3 F 40-44,1:41:45 AM
26 F 30-34,1:41:49 AM
42 M 25-29,1:41:49 AM
43 M 25-29,1:41:50 AM
21 M 45-49,1:41:52 AM
24 F 25-29,1:41:54 AM
63 M 30-34,1:41:58 AM
2 F 50-54,1:41:59 AM
22 M 45-49,1:42:03 AM
3 F 45-49,1:42:05 AM
16 F 35-39,1:42:12 AM
25 F 25-29,1:42:15 AM
41 M 40-44,1:42:16 AM
64 M 30-34,1:42:17 AM
10 F 20-24,1:42:18 AM
5 F 15-19,1:42:20 AM
17 F 35-39,1:42:21 AM
44 M 25-29,1:42:21 AM
77 M 35-39,1:42:22 AM
1 M 15-19,1:42:22 AM
23 M 45-49,1:42:24 AM
42 M 40-44,1:42:25 AM
22 M 50-54,1:42:25 AM
18 F 35-39,1:42:28 AM
11 F 20-24,1:42:29 AM
7 M 55-59,1:42:29 AM
24 M 45-49,1:42:31 AM
65 M 30-34,1:42:32 AM
26 M 20-24,1:42:35 AM
43 M 40-44,1:42:36 AM
25 M 45-49,1:42:38 AM
78 M 35-39,1:42:39 AM
45 M 25-29,1:42:39 AM
79 M 35-39,1:42:42 AM
27 M 20-24,1:42:43 AM
27 F 30-34,1:42:44 AM
26 F 25-29,1:42:45 AM
80 M 35-39,1:42:48 AM
46 M 25-29,1:42:51 AM
26 M 45-49,1:42:52 AM
66 M 30-34,1:42:55 AM
28 F 30-34,1:42:56 AM
8 M 55-59,1:42:58 AM
12 F 20-24,1:42:59 AM
4 F 40-44,1:42:59 AM
44 M 40-44,1:42:59 AM
28 M 20-24,1:43:02 AM
13 F 20-24,1:43:03 AM
27 M 45-49,1:43:03 AM
29 F 30-34,1:43:04 AM
47 M 25-29,1:43:05 AM
23 M 50-54,1:43:09 AM
9 M 55-59,1:43:09 AM
45 M 40-44,1:43:10 AM
67 M 30-34,1:43:12 AM
29 M 20-24,1:43:12 AM
48 M 25-29,1:43:13 AM
68 M 30-34,1:43:14 AM
30 F 30-34,1:43:15 AM
49 M 25-29,1:43:16 AM
69 M 30-34,1:43:18 AM
31 F 30-34,1:43:18 AM
70 M 30-34,1:43:21 AM
71 M 30-34,1:43:21 AM
50 M 25-29,1:43:21 AM
27 F 25-29,1:43:22 AM
28 F 25-29,1:43:23 AM
24 M 50-54,1:43:23 AM
3 F 50-54,1:43:24 AM
4 F 45-49,1:43:25 AM
46 M 40-44,1:43:25 AM
14 F 20-24,1:43:25 AM
47 M 40-44,1:43:28 AM
72 M 30-34,1:43:29 AM
28 M 45-49,1:43:30 AM
51 M 25-29,1:43:31 AM
52 M 25-29,1:43:32 AM
10 M 55-59,1:43:33 AM
48 M 40-44,1:43:34 AM
6 F 15-19,1:43:37 AM
73 M 30-34,1:43:38 AM
53 M 25-29,1:43:38 AM
19 F 35-39,1:43:39 AM
32 F 30-34,1:43:39 AM
5 M 60-64,1:43:40 AM
15 F 20-24,1:43:41 AM
29 F 25-29,1:43:41 AM
49 M 40-44,1:43:42 AM
74 M 30-34,1:43:44 AM
11 M 55-59,1:43:46 AM
81 M 35-39,1:43:47 AM
5 F 40-44,1:43:48 AM
12 M 55-59,1:43:48 AM
75 M 30-34,1:43:48 AM
30 M 20-24,1:43:49 AM
82 M 35-39,1:43:51 AM
30 F 25-29,1:43:53 AM
50 M 40-44,1:43:55 AM
29 M 45-49,1:43:58 AM
25 M 50-54,1:43:59 AM
31 F 25-29,1:43:59 AM
26 M 50-54,1:43:59 AM
83 M 35-39,1:44:01 AM
31 M 20-24,1:44:03 AM
54 M 25-29,1:44:07 AM
51 M 40-44,1:44:08 AM
33 F 30-34,1:44:09 AM
84 M 35-39,1:44:11 AM
32 M 20-24,1:44:14 AM
76 M 30-34,1:44:16 AM
33 M 20-24,1:44:17 AM
20 F 35-39,1:44:19 AM
34 F 30-34,1:44:19 AM
85 M 35-39,1:44:25 AM
32 F 25-29,1:44:25 AM
1 F 60-64,1:44:28 AM
77 M 30-34,1:44:30 AM
30 M 45-49,1:44:31 AM
78 M 30-34,1:44:32 AM
31 M 45-49,1:44:32 AM
33 F 25-29,1:44:32 AM
52 M 40-44,1:44:34 AM
53 M 40-44,1:44:34 AM
6 F 40-44,1:44:36 AM
86 M 35-39,1:44:37 AM
32 M 45-49,1:44:38 AM
34 M 20-24,1:44:41 AM
54 M 40-44,1:44:43 AM
21 F 35-39,1:44:43 AM
87 M 35-39,1:44:44 AM
27 M 50-54,1:44:46 AM
55 M 25-29,1:44:48 AM
33 M 45-49,1:44:48 AM
34 F 25-29,1:44:49 AM
56 M 25-29,1:44:55 AM
88 M 35-39,1:44:56 AM
16 F 20-24,1:44:58 AM
89 M 35-39,1:44:59 AM
55 M 40-44,1:45:00 AM
79 M 30-34,1:45:01 AM
57 M 25-29,1:45:06 AM
34 M 45-49,1:45:07 AM
35 M 45-49,1:45:08 AM
36 M 45-49,1:45:08 AM
35 F 25-29,1:45:11 AM
80 M 30-34,1:45:12 AM
81 M 30-34,1:45:13 AM
56 M 40-44,1:45:13 AM
5 F 45-49,1:45:13 AM
35 F 30-34,1:45:14 AM
22 F 35-39,1:45:14 AM
90 M 35-39,1:45:17 AM
57 M 40-44,1:45:17 AM
23 F 35-39,1:45:21 AM
17 F 20-24,1:45:21 AM
58 M 40-44,1:45:22 AM
18 F 20-24,1:45:23 AM
82 M 30-34,1:45:24 AM
