DIVISION,TIME
F3539,1:54:24
F1924,1:54:25
F4044,1:54:25
F1924,1:54:27
M2529,1:54:31
F1924,1:54:31
F1924,1:54:35
M4549,1:54:35
F2529,1:54:35
F3539,1:54:38
F3539,1:54:44
PACER,1:54:45
F5054,1:54:46
M5054,1:54:46
M3539,1:54:47
F4044,1:54:48
F3539,1:54:50
M5054,1:54:50
M5054,1:54:52
M4549,1:54:55
F4549,1:55:00
M4044,1:55:01
M2529,1:55:02
F1924,1:55:03
F3034,1:55:06
F4549,1:55:07
M1924,1:55:11
M3539,1:55:11
PACER,1:55:11
M4044,1:55:15
F2529,1:55:17
M4044,1:55:22
M4044,1:55:26
F2529,1:55:32
M3539,1:55:40
F3034,1:55:40
M2529,1:55:45
M3539,1:55:45
M1924,1:55:51
F2529,1:56:09
M5054,1:56:10
F3539,1:56:13
F18UN,1:56:16
M2529,1:56:17
M1924,1:56:18
M4044,1:56:20
F3034,1:56:22
M4044,1:56:26
F3034,1:56:27
M3034,1:56:27
M3034,1:56:28
M4549,1:56:30
F3034,1:56:34
M1924,1:56:37
M5054,1:56:38
M3034,1:56:40
M4549,1:56:40
M3034,1:56:44
M4044,1:56:45
F3539,1:56:46
F1924,1:56:46
M4549,1:56:47
F4044,1:56:52
M5559,1:56:53
F2529,1:56:56
F3034,1:56:57
M1924,1:57:01
M3539,1:57:03
M3034,1:57:05
F3539,1:57:10
M3034,1:57:19
F18UN,1:57:22
F2529,1:57:23
F4549,1:57:23
F3034,1:57:27
F4044,1:57:28
M2529,1:57:29
M4044,1:57:30
F2529,1:57:31
M3539,1:57:31
M3539,1:57:31
M3034,1:57:32
F3539,1:57:34
M1924,1:57:35
F1924,1:57:36
M3034,1:57:43
F4549,1:57:51
F3539,1:57:58
M3539,1:57:58
F3034,1:58:01
M6569,1:58:02
M2529,1:58:03
M3034,1:58:03
F3539,1:58:04
M4044,1:58:04
M3034,1:58:07
M4044,1:58:07
M4044,1:58:09
F4044,1:58:11
M3034,1:58:23
M3034,1:58:28
F2529,1:58:32
M4044,1:58:33
F4549,1:58:35
M4549,1:58:36
F1924,1:58:37
M4044,1:58:39
M5559,1:58:42
F2529,1:58:45
F4044,1:58:51
F4044,1:58:53
F2529,1:58:53
F4044,1:58:54
M4044,1:59:01
M2529,1:59:02
F3034,1:59:03
F18UN,1:59:03
F4549,1:59:08
M18UN,1:59:10
F3034,1:59:12
F3539,1:59:12
M3034,1:59:14
F4549,1:59:16
F3539,1:59:17
M3034,1:59:17
F3539,1:59:17
M3539,1:59:19
F2529,1:59:21
M2529,1:59:21
F3539,1:59:24
F2529,1:59:25
F5054,1:59:26
M3539,1:59:29
F4044,1:59:30
F18UN,1:59:30
M3539,1:59:33
F4044,1:59:33
M4044,1:59:33
F3034,1:59:36
F4549,1:59:36
F2529,1:59:39
M2529,1:59:40
M3539,1:59:42
F2529,1:59:43
F3034,1:59:44
F4549,1:59:44
F4549,1:59:44
F1924,1:59:46
F1924,1:59:47
M4549,1:59:47
F3539,1:59:55
F3034,1:59:55
F4044,1:59:59
F4044,2:00:03
F4044,2:00:11
