DIVISION,TIME
F1924,2:34:34
F3539,2:34:34
M6064,2:34:37
F6064,2:34:46
F4044,2:34:46
F5054,2:34:50
F5054,2:34:50
F5054,2:34:51
F1924,2:35:03
F2529,2:35:08
M3034,2:35:36
M2529,2:35:36
F5054,2:35:38
F4549,2:35:39
F4044,2:35:57
F4044,2:35:58
F4044,2:35:58
F4549,2:35:58
F3539,2:35:59
F4549,2:35:59
F4549,2:36:01
F4044,2:36:06
F4549,2:36:18
F3539,2:36:18
F3034,2:36:26
F5054,2:36:27
F3539,2:36:29
F1924,2:36:30
F5054,2:37:05
F5054,2:37:09
M4549,2:37:11
F3539,2:37:20
F4549,2:37:24
M3539,2:37:27
F4044,2:37:27
F1924,2:37:31
F4549,2:37:34
F5559,2:37:35
F3539,2:37:53
M5054,2:37:54
F2529,2:38:02
F1924,2:38:05
F3539,2:38:05
M3539,2:38:05
F4044,2:38:10
F4549,2:38:11
F5054,2:38:11
F3539,2:38:14
F3539,2:38:14
M5054,2:38:15
F2529,2:38:17
F3034,2:38:17
F1924,2:38:22
F3034,2:38:22
M4044,2:38:23
F1924,2:38:23
F3034,2:38:25
F5054,2:38:30
F4549,2:38:30
M5054,2:38:37
F5054,2:38:37
F1924,2:38:38
F3539,2:38:39
F3034,2:38:44
F4044,2:38:46
F4044,2:38:46
M5559,2:38:48
F5054,2:38:52
M3034,2:38:54
F4549,2:39:02
F2529,2:39:05
F1924,2:39:06
F3539,2:39:16
F3034,2:39:22
F3539,2:39:23
F3539,2:39:30
M3539,2:39:31
F4549,2:39:38
PACER,2:39:39
M5054,2:39:40
F4044,2:39:49
F3034,2:39:52
F2529,2:40:01
F5054,2:40:03
F6569,2:40:10
F3034,2:40:16
F1924,2:40:22
F3034,2:40:22
M5559,2:40:23
F4044,2:40:27
M5054,2:40:28
F4549,2:40:44
F3539,2:40:45
PACER,2:40:46
F3539,2:40:48
F3034,2:40:51
M3034,2:41:04
F3034,2:41:19
F5054,2:41:21
F3539,2:41:24
M5054,2:41:29
F5559,2:41:33
M3034,2:41:35
F2529,2:41:43
F3034,2:41:44
F3539,2:41:44
F3034,2:41:46
F3034,2:41:50
M5054,2:41:51
F4549,2:41:53
M3034,2:41:54
F3034,2:41:56
F5559,2:42:09
F6064,2:42:14
F3034,2:42:17
F3539,2:42:17
M2529,2:42:39
M3539,2:42:59
F3034,2:43:03
F4549,2:43:15
F3539,2:43:26
F3539,2:43:40
M6569,2:43:40
F4549,2:43:43
F5559,2:43:48
F2529,2:43:49
F2529,2:43:55
F3539,2:44:00
PACER,2:44:20
F3034,2:44:24
F4044,2:44:25
F4044,2:44:30
F3034,2:44:34
F3034,2:45:04
F5054,2:45:08
F3034,2:45:09
M5054,2:45:16
F4044,2:45:18
F4549,2:45:23
F3539,2:45:27
F3539,2:45:28
F4549,2:45:35
F5054,2:45:46
PACER,2:45:48
F2529,2:45:55
M4044,2:45:56
F4549,2:46:15
F5559,2:46:16
F3034,2:46:18
F5054,2:46:31
F3034,2:46:37
F4549,2:46:43
F2529,2:46:47
F3539,2:47:00
F4044,2:47:10
F4044,2:47:20
F4044,2:47:20
F4549,2:47:20
F4044,2:47:24
F5559,2:47:26
F70UP,2:47:31
M5054,2:47:31
F5054,2:47:32
F2529,2:47:40
F3539,2:47:50
M4044,2:47:55
F5054,2:48:13
F3539,2:48:26
M70UP,2:48:27
F5054,2:48:27
F2529,2:48:32
F3539,2:48:47
F3539,2:48:52
PACER,2:48:53
M5559,2:49:05
M2529,2:49:09
M3539,2:49:15
F2529,2:49:20
F5559,2:49:26
M3539,2:49:29
F4044,2:49:32
M3539,2:49:48
F6064,2:49:53
F70UP,2:49:55
F5054,2:49:57
M3034,2:50:03
F3034,2:50:04
F3034,2:50:05
F2529,2:50:06
M3539,2:50:09
F3539,2:50:09
F3034,2:50:11
F5054,2:50:43
M6569,2:51:04
F2529,2:51:24
F2529,2:51:24
F6064,2:51:26
F2529,2:51:27
F5559,2:51:28
F2529,2:51:31
F4044,2:51:45
F3034,2:51:53
F5054,2:51:53
M2529,2:51:53
F3034,2:52:02
M3034,2:52:02
M6569,2:52:03
M2529,2:52:06
F5054,2:52:14
F4044,2:52:28
F2529,2:52:32
F3539,2:52:39
F4044,2:52:43
F4549,2:52:47
F18UN,2:52:49
F3539,2:53:07
F4549,2:53:07
F5054,2:53:10
M3539,2:53:15
F4549,2:53:19
F4044,2:53:19
F3539,2:53:19
F5054,2:53:33
PACER,2:53:49
F3539,2:53:59
F3539,2:54:19
M4549,2:54:26
F3034,2:54:31
M2529,2:54:31
F5559,2:54:32
F5559,2:54:40
M3539,2:54:41
F3034,2:54:43
F4044,2:54:46
F3539,2:55:07
M3034,2:55:07
F3034,2:55:09
F3034,2:55:13
F3539,2:55:14
F3539,2:55:18
F4549,2:55:21
F3034,2:55:22
M1924,2:55:23
F6569,2:55:23
F4044,2:55:24
F6064,2:55:25
M4044,2:55:26
M5559,2:55:36
M2529,2:55:42
F3034,2:55:49
M4549,2:55:50
M6064,2:55:50
M3539,2:55:57
F4549,2:56:31
F3539,2:56:50
F4549,2:56:52
F3539,2:56:54
F3539,2:56:56
F6064,2:57:00
F5054,2:57:03
F3539,2:57:07
F5054,2:57:20
F4044,2:57:26
F3539,2:57:34
F3034,2:57:34
M2529,2:57:35
F2529,2:57:36
M2529,2:57:47
F4549,2:57:49
F2529,2:57:53
F3539,2:57:54
PACER,2:57:57
F6064,2:58:05
F3539,2:58:11
M4549,2:58:27
F4044,2:58:28
PACER,2:58:36
M5559,2:58:38
F4549,2:58:57
F3539,2:59:01
F3539,2:59:13
M3539,2:59:14
M4044,2:59:14
F6064,2:59:15
M1924,2:59:17
PACER,2:59:22
F3034,2:59:28
F4044,2:59:32
F3539,2:59:34
F4044,2:59:36
F3539,2:59:37
F3034,2:59:40
M3539,3:00:00
F3539,3:00:00
F4044,3:00:36
M3034,3:00:36
F3034,3:00:48
M18UN,3:00:50
F5559,3:01:09
F1924,3:01:14
M5054,3:01:23
F3539,3:01:28
M3034,3:02:13
F3034,3:02:14
F2529,3:02:15
F4549,3:04:02
M4549,3:04:08
F4044,3:04:09
M5054,3:04:10
F2529,3:04:19
F5054,3:04:58
F3539,3:05:45
F3539,3:06:02
F4549,3:06:54
F5054,3:07:14
F3539,3:07:14
F3034,3:07:21
F2529,3:07:50
F3034,3:07:55
F3539,3:08:17
F3539,3:08:21
F4044,3:08:32
F5054,3:08:37
F2529,3:08:38
F3034,3:08:51
F2529,3:09:17
M5559,3:10:33
F3034,3:10:33
M3034,3:10:40
F3034,3:10:45
F4549,3:11:00
F6064,3:11:01
F4044,3:11:16
F4549,3:11:17
F18UN,3:11:18
F6569,3:11:29
F4044,3:11:30
M4044,3:11:52
F3539,3:12:38
F2529,3:13:29
F4044,3:13:51
F70UP,3:13:52
F3034,3:13:55
F6064,3:14:00
F3539,3:14:04
F18UN,3:14:05
F3539,3:14:05
M3034,3:14:06
F3034,3:14:09
M6064,3:14:11
F2529,3:14:34
F3034,3:14:35
F1924,3:15:12
F3034,3:15:34
F4549,3:15:52
F1924,3:16:17
F3539,3:16:24
M3034,3:16:30
F5559,3:17:32
F4044,3:17:44
F6064,3:17:54
F3539,3:17:54
F5054,3:18:07
F70UP,3:18:07
F6569,3:18:09
F3539,3:18:17
F4549,3:18:24
F3539,3:18:25
F3539,3:18:37
F4044,3:18:48
F5559,3:19:20
F5054,3:19:24
F6064,3:19:25
F4044,3:19:31
F5559,3:19:40
F3034,3:19:40
F1924,3:19:44
F1924,3:19:45
F4044,3:19:53
M3539,3:20:08
F5559,3:21:27
F4044,3:22:42
F3539,3:25:45
F6569,3:26:09
F5054,3:26:09
PACER,3:26:19
F3034,3:27:13
F4549,3:27:24
F4044,3:27:45
F4549,3:27:58
F5054,3:27:59
F3034,3:28:02
F3539,3:28:02
F70UP,3:28:06
F70UP,3:28:09
M5559,3:28:42
F3539,3:29:14
F4044,3:29:24
F6064,3:29:59
M4549,3:30:44
F6064,3:31:19
F4044,3:31:52
F6569,3:33:29
F70UP,3:34:25
F2529,3:34:47
F4044,3:34:48
F5054,3:35:25
F5559,3:35:25
F6064,3:35:26
F5559,3:35:27
F3539,3:35:28
F4549,3:35:28
F5054,3:37:31
F6569,3:38:29
F6064,3:38:30
F2529,3:39:22
F3539,3:39:22
F6064,3:39:28
M3034,3:41:14
F4549,3:41:54
F3539,3:41:58
F3034,3:42:28
F5559,3:42:28
F4549,3:45:44
F4549,3:45:45
F4549,3:45:49
F5054,3:46:36
F4549,3:46:36
F6064,3:47:19
F3539,3:47:19
F5559,3:48:11
F5559,3:48:12
F6064,3:51:30
F70UP,3:52:35
M70UP,3:53:44
F4549,3:53:45
F5054,3:54:12
F2529,3:54:28
F5054,3:56:45
M2529,3:57:05
F4044,3:59:10
F5054,4:10:21
F4549,4:10:40
F4549,4:10:51
F2529,4:16:04
F5559,4:37:25
M4549,-
F4549,-
F3539,-
M4044,-
F3539,-
F4549,-
F4044,-
F4044,-
M3034,-
M4044,-
F3539,-
F3539,-
F3539,-
M5559,-
F2529,-
M4549,-
F3034,-
M2529,-
F4044,-
M4549,-
M3034,-
F2529,-
F3034,-
F3539,-
M3539,-
F3539,-
F4044,-
F4549,-
F3034,-
M4044,-
F2529,-
F1924,-
M5559,-
F3539,-
M5054,-
F4044,-
M3034,-
F5054,-
F4044,-
M3539,-
F3539,-
M4044,-
F2529,-
F4044,-
M2529,-
M4549,-
F4044,-
F3539,-
F2529,-
F1924,-
F3539,-
M1924,-
F2529,-
F2529,-
M70UP,-
F4044,-
F4044,-
PACER,-
M4549,-
F3034,-
M5054,-
F3034,-
M4044,-
M3539,-
F3539,-
M2529,-
M5054,-
F2529,-
M3539,-
F3034,-
F5559,-
F4044,-
F1924,-
F5054,-
M5054,-
F2529,-
F3539,-
M3539,-
F4044,-
F5054,-
F3034,-
F5559,-
F4044,-
F3034,-
F1924,-
F6064,-
F4549,-
F5054,-
F3034,-
F3034,-
F1924,-
F5559,-
F2529,-
F6064,-
M2529,-
M4549,-
F4044,-
F1924,-
M3539,-
F3539,-
F1924,-
M2529,-
PACER,-
F3539,-
F4549,-
M4549,-
M3539,-
F1924,-
M2529,-
M5559,-
F4549,-
F2529,-
M3539,-
F6569,-
F18UN,-
M3539,-
M5054,-
M4549,-
F3034,-
F3539,-
F5054,-
F3034,-
F6064,-
M4044,-
F4044,-
F3539,-
M4549,-
M4044,-
M4549,-
M4549,-
F3034,-
F3539,-
F18UN,-
F3034,-
M4044,-
M4549,-
F5559,-
F6064,-
M3034,-
M3539,-
M3539,-
M5559,-
M5559,-
F3034,-
F4549,-
F3034,-
M4549,-
M3539,-
F4549,-
F3539,-
M2529,-
M4044,-
F4044,-
F4044,-
F3034,-
F4044,-
F3034,-
F3034,-
F4044,-
F3034,-
M6064,-
F3034,-
F3539,-
F4044,-
F3034,-
M4044,-
M1924,-
M4044,-
F2529,-
F5559,-
M4044,-
F1924,-
M6569,-
F3034,-
F3034,-
F3539,-
M3034,-
M3539,-
F4549,-
M5559,-
M4549,-
F2529,-
F5054,-
F2529,-
F4044,-
F5054,-
F5054,-
M2529,-
M2529,-
M4044,-
F4549,-
M3539,-
M2529,-
F4044,-
F3539,-
F4044,-
M3034,-
F3539,-
M4549,-
