Age Group Place,Chip Time
29 M 40-44,6:02:56 AM
19 F 35-39,6:03:09 AM
12 F 25-29,6:03:11 AM
15 M 25-29,6:03:26 AM
2 F 20-24,6:03:30 AM
3 F 45-49,6:03:41 AM
30 M 40-44,6:03:42 AM
4 F 45-49,6:03:42 AM
14 M 45-49,6:04:26 AM
31 M 40-44,6:05:13 AM
13 F 30-34,6:05:36 AM
5 F 45-49,6:06:25 AM
23 M 30-34,6:06:33 AM
24 M 30-34,6:07:16 AM
10 M 50-54,6:07:23 AM
20 F 35-39,6:07:39 AM
31 M 35-39,6:08:18 AM
7 F 40-44,6:08:40 AM
32 M 35-39,6:09:42 AM
21 F 35-39,6:09:56 AM
25 M 30-34,6:10:37 AM
6 F 45-49,6:10:52 AM
14 F 30-34,6:11:06 AM
5 M 20-24,6:11:35 AM
3 F 20-24,6:12:17 AM
26 M 30-34,6:12:32 AM
13 F 25-29,6:13:11 AM
14 F 25-29,6:13:25 AM
15 F 25-29,6:13:47 AM
15 M 45-49,6:13:49 AM
15 F 30-34,6:14:02 AM
16 M 25-29,6:14:10 AM
22 F 35-39,6:14:34 AM
32 M 40-44,6:14:44 AM
11 M 50-54,6:14:47 AM
16 M 45-49,6:14:55 AM
33 M 40-44,6:15:13 AM
1 F 60-64,6:15:14 AM
7 F 45-49,6:15:14 AM
27 M 30-34,6:15:17 AM
12 M 50-54,6:15:52 AM
16 F 25-29,6:15:52 AM
8 F 40-44,6:16:15 AM
23 F 35-39,6:16:46 AM
17 F 25-29,6:16:49 AM
16 F 30-34,6:16:57 AM
17 M 45-49,6:17:52 AM
17 F 30-34,6:18:43 AM
34 M 40-44,6:18:48 AM
8 F 50-54,6:18:49 AM
18 F 25-29,6:19:08 AM
8 F 45-49,6:19:34 AM
9 F 45-49,6:19:37 AM
4 M 55-59,6:19:54 AM
13 M 50-54,6:19:57 AM
10 F 45-49,6:20:17 AM
9 F 40-44,6:20:51 AM
18 M 45-49,6:21:23 AM
10 F 40-44,6:21:57 AM
28 M 30-34,6:22:06 AM
11 F 45-49,6:22:08 AM
18 F 30-34,6:22:12 AM
4 F 20-24,6:22:34 AM
24 F 35-39,6:22:52 AM
35 M 40-44,6:23:04 AM
12 F 45-49,6:23:11 AM
9 F 50-54,6:24:12 AM
19 F 30-34,6:24:28 AM
19 F 25-29,6:24:30 AM
25 F 35-39,6:25:00 AM
20 F 25-29,6:25:23 AM
13 F 45-49,6:25:49 AM
11 F 40-44,6:26:19 AM
36 M 40-44,6:26:29 AM
19 M 45-49,6:27:30 AM
26 F 35-39,6:27:38 AM
2 F 55-59,6:27:39 AM
14 F 45-49,6:27:46 AM
27 F 35-39,6:27:56 AM
17 M 25-29,6:28:05 AM
15 F 45-49,6:28:07 AM
28 F 35-39,6:28:09 AM
5 F 20-24,6:28:10 AM
